Traits,plant type,plant type,plant type,phyllotaxis,phyllotaxis,phyllotaxis,trunk and root,trunk and root,trunk and root,latex,latex,latex,crown,crown,crown,stem shape,stem shape,stem shape,bark,bark,bark,bark color,bark color,bark color,leaf shape,leaf shape,leaf shape,petiole,petiole,petiole,leaf blade,leaf blade,leaf blade,leaf margin,leaf margin,leaf margin,leaf base,leaf base,leaf base,leaf apex,leaf apex,leaf apex,vein,vein,vein,tendril,tendril,tendril,spine,spine,spine,blade color,blade color,blade color,fruit,fruit,fruit,inflorescences,inflorescences,inflorescences,sexuality,sexuality,sexuality,flower color,flower color,flower color,flower shape,flower shape,flower shape
Species,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1,Precision,Recall,F1
Acacia kirkii,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.25,0.14285714285714288,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.4166666666666667,0.45454545454545453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.25,0.3333333333333333,0.28571428571428575,0.9285714285714286,0.75,0.7948717948717948
Acacia laeta,0.9166666666666667,0.8333333333333333,0.8545454545454545,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.9444444444444444,0.75,0.803921568627451,nan,nan,nan,0.16666666666666666,0.25,0.2,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan
Acacia macrostachya,0.2857142857142857,0.4,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.75,0.7777777777777778,nan,nan,nan,0.4,0.4,0.4000000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Acacia mellifera,0.8333333333333333,0.9166666666666667,0.8545454545454545,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.9,0.75,0.7777777777777778,1.0,1.0,1.0,0.3,0.375,0.33333333333333326,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.75,0.9444444444444444,0.803921568627451,0.5,0.3333333333333333,0.4,nan,nan,nan,nan,nan,nan,0.16666666666666666,0.25,0.2,0.25,0.375,0.3,nan,nan,nan,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.875,0.75,0.7619047619047619,nan,nan,nan
Acacia nilotica,0.9285714285714286,0.75,0.7948717948717948,nan,nan,nan,nan,nan,nan,0.9,0.75,0.7777777777777778,nan,nan,nan,1.0,1.0,1.0,0.75,0.9,0.7777777777777778,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.75,0.9444444444444444,0.803921568627451,0.5,0.3333333333333333,0.4,0.9444444444444444,0.75,0.803921568627451,nan,nan,nan,0.16666666666666666,0.25,0.2,nan,nan,nan,0.375,0.375,0.375,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.75,0.7948717948717948
Acacia polyacantha ssp. campylacantha,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.25,0.3333333333333333,nan,nan,nan,nan,nan,nan,0.16666666666666666,0.25,0.2,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.75,0.803921568627451,1.0,1.0,1.0,0.875,0.75,0.7619047619047619,0.9285714285714286,0.75,0.7948717948717948
Acacia senegal,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.9,0.75,0.7777777777777778,nan,nan,nan,1.0,1.0,1.0,0.375,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,nan,nan,nan,nan,nan,nan,0.16666666666666666,0.25,0.2,nan,nan,nan,0.375,0.375,0.375,1.0,1.0,1.0,0.9285714285714286,0.75,0.7948717948717948,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.75,0.803921568627451,1.0,1.0,1.0,0.875,0.75,0.7619047619047619,0.9285714285714286,0.75,0.7948717948717948
Acacia seyal,0.9285714285714286,0.75,0.7948717948717948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.5,0.5,0.48571428571428577,0.875,0.9,0.873015873015873,1.0,1.0,1.0,0.5,0.3333333333333333,0.4,nan,nan,nan,1.0,1.0,1.0,0.16666666666666666,0.25,0.2,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,0.35714285714285715,0.4166666666666667,0.3846153846153846
Acacia sieberiana,0.9285714285714286,0.75,0.7948717948717948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.8,0.6666666666666666,0.625,0.21428571428571427,0.375,0.2727272727272727,1.0,1.0,1.0,0.5,0.4166666666666667,0.45454545454545453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3888888888888889,0.4375,0.411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.75,0.7948717948717948
Acacia tortilis ssp. Raddiana,0.9285714285714286,0.75,0.7948717948717948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.4166666666666667,0.45454545454545453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan
Adansonia digitata,0.9285714285714286,0.75,0.7948717948717948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.9,0.75,0.7777777777777778,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.75,0.9444444444444444,0.803921568627451,0.5,0.4166666666666667,0.45454545454545453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.375,0.375,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666667,0.75,0.7878787878787878,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0
Adenium obesum,0.9285714285714286,0.75,0.7948717948717948,0.25,0.25,0.25,nan,nan,nan,0.3,0.375,0.33333333333333326,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.75,0.7777777777777778,0.35714285714285715,0.4166666666666667,0.3846153846153846,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,0.9444444444444444,0.75,0.803921568627451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,0.5833333333333333,0.5833333333333333,0.5833333333333333,1.0,1.0,1.0
Aeschynomene elaphroxylon,0.6666666666666667,0.6666666666666667,0.6666666666666667,nan,nan,nan,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,0.2,0.3333333333333333,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.3333333333333333,0.4,0.8888888888888888,0.6666666666666666,0.6875,nan,nan,nan,nan,nan,nan,0.8333333333333333,0.6666666666666666,0.65,nan,nan,nan,1.0,1.0,1.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.75,0.803921568627451,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855
